data,fold,model,start_train,finish_train,p@5,p@10,p@15,p@20,r@5,r@10,r@15,r@20,g@5,g@10,g@15,g@20
ebnerd_demo,1,FairGANModel,2025-01-05 09:46:45.734478,2025-01-05 09:53:06.535759,0.048194662480376765,0.043328100470957615,0.041496598639455776,0.040266875981161694,0.009482526516514518,0.01712979152743254,0.02428206135138782,0.030579322879111078,0.04983165669186362,0.04716801241222479,0.047229813597595635,0.04787801427888465
ebnerd_demo,2,FairGANModel,2025-01-05 09:53:13.650365,2025-01-05 09:59:33.089716,0.05243328100470957,0.04387755102040817,0.041601255886970175,0.039560439560439566,0.009498639149175717,0.016186764554468217,0.022128542871925866,0.030522274777421993,0.052763484697307135,0.047657060886344284,0.046676052196075554,0.04698109839252619
ebnerd_demo,3,FairGANModel,2025-01-05 09:59:40.153925,2025-01-05 10:05:59.616434,0.05180533751962323,0.04662480376766091,0.04427001569858713,0.043249607535321824,0.009776132013877838,0.01675282307500699,0.023574138434317875,0.031189913454396253,0.05454635605760403,0.050657538566464086,0.04989306661859535,0.05057795530742983
ebnerd_demo,4,FairGANModel,2025-01-05 10:06:06.813653,2025-01-05 10:12:26.717251,0.05384615384615384,0.04866562009419153,0.04552590266875981,0.04328885400313972,0.01103243866518953,0.01966529369411589,0.02746129499081778,0.03452386507966334,0.058725803521754515,0.05441258757195421,0.05313179041992214,0.053106525119892306
ebnerd_demo,5,FairGANModel,2025-01-05 10:12:33.726033,2025-01-05 10:18:53.431951,0.04725274725274726,0.04364207221350079,0.041025641025641026,0.03944270015698587,0.00995236323841412,0.017295233144380095,0.0248782790168588,0.031160262167529516,0.04908146228462949,0.04695246661680828,0.04654755017750091,0.046893772473099955
ebnerd_demo,1,DiffModel,2025-01-05 10:19:00.543842,2025-01-05 10:20:10.453320,0.04065934065934066,0.034772370486656205,0.033751962323390894,0.03182888540031397,0.007194554984544339,0.011930151830120531,0.016839948598290116,0.021157199608001782,0.044172123949292486,0.03951768084840275,0.038963306038611104,0.03840352638108412
ebnerd_demo,2,DiffModel,2025-01-05 10:20:30.996453,2025-01-05 10:21:39.638713,0.038147566718995295,0.033202511773940346,0.03296703296703297,0.030298273155416014,0.006499651931114851,0.010632820625165724,0.015982811514705566,0.01975209995422277,0.038984659493181154,0.03589999449751797,0.03641339512462206,0.035467935104973584
ebnerd_demo,3,DiffModel,2025-01-05 10:21:59.768199,2025-01-05 10:23:09.362880,0.036263736263736274,0.03390894819466248,0.03192046049188907,0.03057299843014129,0.005864101847757623,0.011749861962692289,0.015926059425962934,0.020166872346222806,0.033627391502587124,0.03354478619278575,0.03315495600330523,0.033313620348850964
ebnerd_demo,4,DiffModel,2025-01-05 10:23:29.016134,2025-01-05 10:24:38.812353,0.04709576138147567,0.03571428571428571,0.03239141810570382,0.0315149136577708,0.008575035131144635,0.013027676652547433,0.017237002974237678,0.02172135556352991,0.049522931732158625,0.04170723029746631,0.03943949082012975,0.039276087905259605
ebnerd_demo,5,DiffModel,2025-01-05 10:24:58.148975,2025-01-05 10:26:07.543775,0.04505494505494506,0.048037676609105184,0.04495028780743066,0.044152276295133436,0.008500789512943313,0.01707434345360885,0.02477024322376874,0.0314191412946886,0.04350950615432635,0.04703245148280746,0.047087517799765846,0.048252098640131975
